1,Adult Cast
1,Psychological
2,Gore
2,Military
2,Mythology
2,Psychological
3,Historical
3,Psychological
4,Iyashikei
7,Combat Sports
8,Music
8,Showbiz
9,null
10,null
11,Martial Arts
12,null
13,null
14,null
15,Harem
15,Martial Arts
15,School
16,Harem
17,School
18,Love Polygon
18,School
18,Showbiz
19,null
20,Strategy Game
21,Psychological
22,Historical
22,Samurai
23,Harem
23,Martial Arts
23,School
24,null
25,Military
26,null
27,Psychological
27,Super Power
28,Adult Cast
28,Love Polygon
28,Music
29,School
29,Visual Arts
30,Crossdressing
30,Reverse Harem
30,School
31,School
32,null
33,null
34,null
35,Mahou Shoujo
36,Mahou Shoujo
36,Reincarnation
36,School
37,School
38,null
39,null
40,null
41,School
42,Martial Arts
42,Super Power
43,Team Sports
44,Gag Humor
44,Historical
44,Parody
44,Samurai
45,Harem
45,School
46,null
47,Organized Crime
47,School
47,Super Power
48,Magical Sex Shift
48,School
49,School
50,Super Power
51,School
51,Team Sports
52,Team Sports
53,null
54,Historical
54,School
54,Strategy Game
55,Childcare
55,School
56,School
57,Crossdressing
57,Love Polygon
57,School
58,Crossdressing
58,Performing Arts
58,School
59,null
60,School
61,Psychological
62,School
63,Music
64,School
65,null
66,Gag Humor
67,Space
68,null
69,null
70,null
71,School
72,Isekai
73,Martial Arts
73,School
74,School
75,Harem
76,Childcare
77,Psychological
77,School
