1,Seinen
2,Seinen
3,Seinen
4,Seinen
7,Shounen
8,Shoujo
9,Shounen
10,Seinen
11,Shounen
12,Shounen
13,Shounen
14,Shounen
15,Shounen
16,Shounen
17,Shoujo
18,Shoujo
19,Shounen
20,Shounen
21,Shounen
22,Shounen
23,Shounen
24,Shounen
25,Shounen
26,Shounen
27,Shoujo
28,Shoujo
29,Josei
30,Shoujo
31,Shoujo
32,Shounen
33,Shounen
34,Shounen
35,Shoujo
36,Shoujo
37,Shoujo
38,Shounen
39,Shounen
40,Shounen
41,Shounen
42,Shounen
43,Shounen
44,Shounen
45,Shounen
46,Shounen
47,Shounen
48,Shounen
49,Shounen
50,Shounen
51,Shounen
52,Shounen
53,Shounen
54,Shounen
55,Shoujo
56,Shoujo
57,Shoujo
58,Shoujo
59,Shounen
60,Seinen
61,null
62,Shoujo
63,Shoujo
64,Shoujo
65,Shoujo
66,Shounen
67,Seinen
68,Shounen
69,Shoujo
70,Seinen
71,Shoujo
72,Seinen
73,Seinen
74,Shounen
75,Seinen
76,Shoujo
77,Shoujo
78,Shoujo
79,Shoujo
80,Shounen
81,Shounen
83,Shoujo
84,Shoujo
85,null
86,Shoujo
87,Shoujo
88,null
89,Shoujo
90,Josei
91,Shoujo
92,Shoujo
93,Seinen
94,Shoujo
95,Shoujo
96,null
97,Shounen
98,Seinen
99,Shounen
100,null
101,Shoujo
102,Shoujo
103,Shoujo
104,null
105,Shounen
106,Shoujo
107,Seinen
108,Shoujo
109,Shoujo
110,Shounen
111,Seinen
112,Josei
113,Shoujo
114,Shounen
115,Shounen
116,null
117,null
118,null
119,Shoujo
120,null
121,null
122,null
123,Josei
124,Shoujo
125,null
126,null
127,null
128,Josei
129,Seinen
130,Shoujo
131,Josei
132,Shounen
133,Shoujo
134,Shounen
135,Shounen
136,Shounen
137,Seinen
138,null
139,Shoujo
140,Shounen
141,null
142,Seinen
143,Josei
144,Seinen
145,Shounen
146,Josei
147,Shounen
148,null
149,Seinen
150,null
151,Seinen
152,Shounen
153,Shounen
155,Shounen
156,Shoujo
157,Shoujo
158,Shoujo
159,Seinen
160,Shounen
161,Shounen
162,Shoujo
163,Shoujo
164,Shoujo
165,Shoujo
166,Shoujo
167,Shounen
168,null
169,Seinen
170,Shoujo
171,Shoujo
172,null
173,Shoujo
174,Shoujo
175,null
176,Seinen
177,Shounen
178,null
179,null
180,null
181,Josei
182,null
183,Shoujo
184,Shoujo
185,Shoujo
186,Josei
187,Josei
188,Josei
190,Shoujo
191,Seinen
192,null
193,Shoujo
194,Shounen
195,Shoujo
196,null
197,null
198,null
199,Shounen
200,null
201,Shounen
202,null
203,null
204,null
205,null
206,null
207,null
208,null
209,Shoujo
211,null
212,null
213,null
214,Shounen
215,null
216,Seinen
217,null
218,null
219,Shounen
220,Shounen
221,Seinen
222,Seinen
223,Shoujo
224,null
225,null
226,null
227,null
228,null
229,Seinen
230,null
233,null
234,null
235,null
236,null
237,null
238,null
239,null
240,null
241,null
242,null
243,Shounen
244,Shounen
245,null
246,Shoujo
247,Shoujo
248,Shoujo
249,Shoujo
250,Shoujo
251,null
252,null
253,null
254,null
255,null
256,null
257,null
258,null
259,null
260,null
261,null
262,Shoujo
263,null
264,null
265,null
266,null
267,Seinen
268,null
269,Shoujo
270,Seinen
271,Shoujo
272,Seinen
273,null
274,null
275,null
276,Seinen
277,Shoujo
278,null
279,null
280,null
281,Shoujo
282,null
283,null
284,null
285,null
286,null
287,null
288,null
289,Shoujo
290,null
291,null
292,null
293,null
294,null
295,null
296,null
297,Shoujo
298,Josei
299,null
300,Shoujo
301,Shounen
302,Shounen
303,Shoujo
304,Shounen
305,Shounen
306,Shoujo
307,Shounen
308,Shoujo
309,Shoujo
311,null
312,null
314,null
315,Shoujo
316,Shoujo
317,Shoujo
318,Seinen
319,Shoujo
320,Shoujo
321,null
322,Shoujo
323,null
324,Shoujo
325,Shounen
326,Shounen
327,Shounen
328,Shounen
329,Shoujo
330,null
332,Shoujo
333,null
334,null
335,null
336,Shounen
337,null
338,Shounen
339,Shounen
340,null
341,Shounen
342,Shounen
343,Shounen
344,Seinen
345,Shounen
346,null
347,Shounen
348,Seinen
349,null
350,Shoujo
351,Seinen
352,Shounen
353,Shounen
354,Josei
355,Shounen
356,null
357,Seinen
358,Josei
359,Kids
360,Seinen
361,null
362,Shoujo
363,Shounen
364,Shounen
365,null
366,Seinen
367,Shounen
368,Shoujo
369,Shoujo
370,Shoujo
371,null
372,Seinen
373,Shoujo
374,Shounen
